	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin01g05040	193	213	190	613	615	338
gene:Bcin01g05050	2	0	0	6	20	7
gene:Bcin01g05060	8976	10808	7401	4806	3051	3182
gene:Bcin01g05070	213	242	209	240	142	168
gene:Bcin01g05080	658	707	493	5	8	7
gene:Bcin01g05090	1477	1609	1115	32	19	18
gene:Bcin01g05100	12	17	11	60	39	40
gene:Bcin01g05110	641	870	653	1083	906	766
gene:Bcin01g05120	5371	8089	4255	17863	18995	16396
gene:Bcin01g05130	1273	1407	1175	1488	1069	1085
gene:Bcin01g05140	584	756	535	443	355	315
gene:Bcin01g05150	141	216	132	155	131	93
gene:Bcin01g05160	5538	6539	5469	7660	9804	7819
gene:Bcin01g05170	48	54	60	355	404	287
gene:Bcin01g05180	52	48	28	160	157	86
